Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes,magnification ratio,entrance pupil
,,24mm,1.5,1',43.3mm,95mm,92mm,860g,68mm,LPL / L / M,11,,,
,,28mm,1.5,"1' 2""",43.3mm,95mm,92mm,830g,68mm,LPL / L / M,11,,,
,,35mm,1.5,"1' 2""",43.3mm,95mm,92mm,810g,68mm,LPL / L / M,11,,,
,,40mm,1.5,"1' 2""",43.3mm,95mm,92mm,870g,68mm,LPL / L / M,11,,,
,,50mm,1.5,"1' 8""",43.3mm,95mm,92mm,860g,68mm,LPL / L / M,11,,,
,,50mm,1.0,"1' 8""",43.3mm,95mm,92mm,1100g,82mm,LPL / L / M,11,,,
,,75mm,1.5,"2' 6""",43.3mm,95mm,92mm,1450g,112mm,LPL / L / M,11,,,
,,90mm,1.5,"2' 10""",43.3mm,95mm,92mm,1380g,112mm,LPL / L / M,11,,,
,,135mm,1.9,"3' 3""",43.3mm,95mm,92mm,1590g,121mm,LPL / L / M,11,,,
,,,,,,,,,,,,,,
,Hugo II,66mm,2.1,2',43.3mm,95mm,92mm,820g,82mm,LPL / L / M,11,,,
,,75mm,2.1,"2' 6""",43.3mm,95mm,92mm,900g,82mm,LPL / L / M,11,,,
,,90mm,2.1,"2' 10""",43.3mm,95mm,92mm,910g,82mm,LPL / L / M,11,,,
,,,,,,,,,,,,,,
,ELSIE,15mm,2.1,"1' 2""",46.5mm,,n/a,,160mm,LPL,,,,
,,18mm,2.1,"1' 2""",46.5mm,114mm,n/a,2400g,160mm,LPL,15,,,
,,21mm,2.1,"1' 2""",46.5mm,114mm,n/a,2400g,160mm,LPL,15,,,
,,25mm,2.1,"1' 2""",46.5mm,95mm,92mm,2000g,160mm,LPL,15,,,
,,29mm,2.1,"1' 2""",46.5mm,95mm,92mm,2000g,160mm,LPL,15,,,
,,35mm,2.1,"1' 2""",46.5mm,95mm,92mm,2000g,160mm,LPL,15,,,
,,40mm,2.1,"1' 2""",46.5mm,95mm,92mm,2000g,160mm,LPL,15,,,
,,50mm,2.1,"1' 8""",46.5mm,95mm,92mm,2000g,160mm,LPL,15,,,
,,65mm,2.1,"2' 2""",46.5mm,95mm,92mm,2000g,160mm,LPL,,,,
,,75mm,2.1,"2' 6""",46.5mm,95mm,92mm,2100g,160mm,LPL,13,,,
